State,time,population
MICHIGAN,8/27/1978,31
MICHIGAN,9/3/1978,16
MICHIGAN,9/10/1978,19
MICHIGAN,9/17/1978,24
MICHIGAN,9/24/1978,31
MICHIGAN,10/1/1978,31
MICHIGAN,10/15/1978,40
MICHIGAN,10/22/1978,29
MICHIGAN,10/29/1978,26
MICHIGAN,11/5/1978,21
MICHIGAN,11/12/1978,17
MICHIGAN,11/19/1978,23
MICHIGAN,11/26/1978,15
MICHIGAN,12/3/1978,30
MICHIGAN,12/10/1978,33
MICHIGAN,12/17/1978,19
MICHIGAN,12/24/1978,19
MICHIGAN,12/31/1978,14
MICHIGAN,1/7/1979,21
MICHIGAN,1/14/1979,28
MICHIGAN,1/21/1979,21
MICHIGAN,1/28/1979,29
MICHIGAN,2/4/1979,27
MICHIGAN,2/11/1979,28
MICHIGAN,2/18/1979,41
MICHIGAN,2/25/1979,42
MICHIGAN,3/4/1979,31
MICHIGAN,3/11/1979,35
MICHIGAN,3/18/1979,22
MICHIGAN,3/25/1979,19
MICHIGAN,4/1/1979,19
MICHIGAN,4/8/1979,20
MICHIGAN,4/15/1979,23
MICHIGAN,4/22/1979,31
MICHIGAN,4/29/1979,14
MICHIGAN,5/6/1979,19
MICHIGAN,5/13/1979,33
MICHIGAN,5/20/1979,9
MICHIGAN,5/27/1979,14
MICHIGAN,6/3/1979,24
MICHIGAN,6/10/1979,11
MICHIGAN,6/17/1979,28
MICHIGAN,6/24/1979,10
MICHIGAN,7/1/1979,25
MICHIGAN,7/8/1979,21
MICHIGAN,7/15/1979,19
MICHIGAN,7/22/1979,19
MICHIGAN,7/29/1979,13
MICHIGAN,8/5/1979,19
MICHIGAN,8/12/1979,21
MICHIGAN,8/19/1979,22
MICHIGAN,8/26/1979,31
MICHIGAN,9/2/1979,11
MICHIGAN,9/9/1979,36
MICHIGAN,9/16/1979,23
MICHIGAN,9/23/1979,17
MICHIGAN,9/30/1979,27
MICHIGAN,10/7/1979,18
MICHIGAN,10/14/1979,15
MICHIGAN,10/21/1979,24
MICHIGAN,10/28/1979,21
MICHIGAN,11/4/1979,22
MICHIGAN,11/11/1979,15
MICHIGAN,11/18/1979,12
MICHIGAN,11/25/1979,14
MICHIGAN,12/2/1979,15
MICHIGAN,12/9/1979,10
MICHIGAN,12/16/1979,11
MICHIGAN,12/30/1979,5
MICHIGAN,1/6/1980,12
MICHIGAN,1/13/1980,17
MICHIGAN,1/20/1980,29
MICHIGAN,1/27/1980,17
MICHIGAN,2/3/1980,12
MICHIGAN,2/10/1980,8
MICHIGAN,2/17/1980,28
MICHIGAN,2/24/1980,11
MICHIGAN,3/2/1980,36
MICHIGAN,3/16/1980,15
MICHIGAN,3/23/1980,8
MICHIGAN,3/30/1980,20
MICHIGAN,4/6/1980,19
MICHIGAN,4/13/1980,6
MICHIGAN,4/20/1980,19
MICHIGAN,4/27/1980,16
MICHIGAN,5/4/1980,18
MICHIGAN,5/11/1980,9
MICHIGAN,5/18/1980,14
MICHIGAN,5/25/1980,8
MICHIGAN,6/1/1980,25
MICHIGAN,6/8/1980,31
MICHIGAN,6/15/1980,13
MICHIGAN,6/22/1980,14
MICHIGAN,6/29/1980,17
MICHIGAN,7/6/1980,17
MICHIGAN,7/13/1980,7
MICHIGAN,7/20/1980,10
MICHIGAN,7/27/1980,17
MICHIGAN,8/3/1980,18
MICHIGAN,8/10/1980,18
MICHIGAN,8/17/1980,9
MICHIGAN,8/24/1980,26
MICHIGAN,8/31/1980,7
MICHIGAN,9/21/1980,25
MICHIGAN,11/16/1980,8
MICHIGAN,12/14/1980,23
MICHIGAN,1/4/1981,15
MICHIGAN,1/11/1981,11
MICHIGAN,1/18/1981,13
MICHIGAN,1/25/1981,14
MICHIGAN,2/1/1981,16
MICHIGAN,2/8/1981,10
MICHIGAN,2/15/1981,11
MICHIGAN,2/22/1981,9
MICHIGAN,3/1/1981,22
MICHIGAN,3/8/1981,5
MICHIGAN,3/15/1981,16
MICHIGAN,3/22/1981,20
MICHIGAN,3/29/1981,7
MICHIGAN,4/5/1981,14
MICHIGAN,4/12/1981,5
MICHIGAN,4/19/1981,9
MICHIGAN,5/3/1981,14
MICHIGAN,5/10/1981,9
MICHIGAN,5/17/1981,11
MICHIGAN,5/24/1981,5
MICHIGAN,5/31/1981,27
MICHIGAN,6/7/1981,7
MICHIGAN,6/14/1981,14
MICHIGAN,6/28/1981,7
MICHIGAN,7/5/1981,10
MICHIGAN,7/12/1981,13
MICHIGAN,7/19/1981,16
MICHIGAN,7/26/1981,21
MICHIGAN,8/2/1981,24
MICHIGAN,8/9/1981,25
MICHIGAN,8/16/1981,29
MICHIGAN,8/23/1981,23
MICHIGAN,8/30/1981,16
MICHIGAN,9/6/1981,12
MICHIGAN,9/13/1981,16
MICHIGAN,9/27/1981,11
MICHIGAN,10/4/1981,3
MICHIGAN,10/11/1981,26
MICHIGAN,10/18/1981,21
MICHIGAN,10/25/1981,16
MICHIGAN,11/1/1981,19
MICHIGAN,11/8/1981,6
MICHIGAN,11/15/1981,19
MICHIGAN,11/22/1981,26
MICHIGAN,11/29/1981,32
MICHIGAN,12/6/1981,15
MICHIGAN,12/13/1981,23
MICHIGAN,12/27/1981,31
MICHIGAN,1/4/1982,22
MICHIGAN,1/17/1982,5
MICHIGAN,1/24/1982,12
MICHIGAN,1/31/1982,9
MICHIGAN,2/7/1982,34
MICHIGAN,2/14/1982,7
MICHIGAN,2/21/1982,9
MICHIGAN,2/28/1982,23
MICHIGAN,3/7/1982,23
MICHIGAN,3/14/1982,9
MICHIGAN,3/21/1982,8
MICHIGAN,3/28/1982,23
MICHIGAN,4/4/1982,16
MICHIGAN,4/11/1982,13
MICHIGAN,4/18/1982,11
MICHIGAN,4/25/1982,8
MICHIGAN,5/2/1982,14
MICHIGAN,5/9/1982,8
MICHIGAN,5/16/1982,12
MICHIGAN,5/23/1982,16
MICHIGAN,5/30/1982,5
MICHIGAN,6/6/1982,7
MICHIGAN,6/13/1982,2
MICHIGAN,6/20/1982,28
MICHIGAN,6/27/1982,18
MICHIGAN,7/4/1982,10
MICHIGAN,7/11/1982,20
